91,下方,1,2,118212316,24673400,118.2235272,24.67680956
92,下溪头,0,7,118169708,24723350,118.1810607,24.72669844
93,下溪头,1,5,118169708,24723350,118.1810607,24.72669844
94,下许,0,2,118198666,24598766,118.2098798,24.60232453
95,下许,1,1,118197950,24599000,118.2091651,24.60256191
96,下边,0,1,118185833,24523083,118.1970997,24.52663865
97,下边,1,1,118185600,24522866,118.196868,24.52641988
98,丙州东头尾,0,1,118180283,24655566,118.1915758,24.65906169
99,丙州东头尾,1,1,118180283,24655566,118.1915758,24.65906169
100,东坑,0,4,118231850,24607633,118.2431132,24.61068502
101,东坑,1,4,118231216,24607183,118.2424773,24.61024657
102,东头埔,0,2,118158100,24663566,118.1695196,24.66672229
103,东头埔,1,2,118158100,24663566,118.1695196,24.66672229
104,东孚中学,1,1,117926083,24557383,117.9372389,24.56038674
105,东孚镇,0,2,117930083,24561283,117.9412247,24.56436408
106,东孚镇,1,2,117929900,24560983,117.9410424,24.56406053
107,东宅,0,9,118059050,24622800,118.0704885,24.62635504
108,东宅,1,9,118099038,24655116,118.1105145,24.65857446
109,东寮卫生所,0,2,118253516,24716700,118.2648096,24.71951154
110,东寮卫生所,1,2,118253383,24717600,118.2646777,24.72041202
111,东山村,0,1,118107683,24607816,118.1191807,24.61111456
112,东山村,1,1,118107683,24607816,118.1191807,24.61111456
113,东屿村,0,2,118033967,24490833,118.0454295,24.49391107
114,东屿村,1,2,118033967,24490833,118.0454295,24.49391107
115,东屿村口,0,3,118037533,24479283,118.0489792,24.48242792
116,东屿村口,1,3,118035750,24485425,118.0472051,24.48853589
117,东市,0,1,118157400,24749566,118.1688507,24.75271966
118,东市,1,1,118157350,24749450,118.1688009,24.7526027
119,东方高尔夫别墅,0,6,118033683,24530416,118.0451526,24.53348487
120,东方高尔夫别墅,1,6,118032858,24530141,118.0443283,24.53319519
121,东林村,0,1,118104166,24611233,118.1156567,24.61459851
122,东林村,1,1,118103533,24610700,118.1150212,24.61407735
123,东柯,0,4,118156200,24673366,118.1676223,24.67649176
124,东柯,1,4,118156200,24673366,118.1676223,24.67649176
125,东桥,0,13,118154416,24734833,118.1658752,24.73794037
126,东桥,1,11,118154795,24734600,118.1662519,24.73771275
127,东浦一里,0,7,118120983,24474433,118.1324856,24.4775201
128,东浦一里,1,7,118120554,24474504,118.1320565,24.47759686
129,东浦幼儿园,0,6,118124833,24475770,118.1363401,24.47881109
130,东浦幼儿园,1,6,118124933,24475583,118.1364399,24.47862321
131,东浦路,0,1,118127700,24476466,118.1392078,24.47948048
132,东浦路,1,1,118127700,24476466,118.1392078,24.47948048
133,东海学院,0,4,118164783,24746583,118.1761865,24.74985539
134,东海学院,1,4,118165475,24747708,118.1768745,24.75099214
135,东渡,0,33,118074446,24485113,118.0858524,24.48881554
136,东渡,1,34,118074446,24485113,118.0858524,24.48881554
137,东渡六中,0,6,118082683,24497850,118.0941115,24.50153246
138,东渡六中,1,7,118082683,24497716,118.0941115,24.50139844
139,东渡狐尾山,0,20,118072820,24480970,118.0842213,24.48466831
140,东渡狐尾山,1,20,118072962,24480962,118.0843634,24.484661
141,东烧尾,0,2,118325933,24631566,118.3371813,24.63512562
142,东烧尾,1,2,118326691,24631791,118.3379422,24.63534438
143,东瑶,0,3,117946266,24548800,117.9573908,24.55213785
144,东瑶,1,3,117945633,24549605,117.9567572,24.55293566
145,东界村,0,1,118211000,24569000,118.2221936,24.57243069
146,东界村,1,1,118211000,24569000,118.2221936,24.57243069
147,东盛花园,0,3,118167850,24479750,118.1791936,24.48307826
148,东盛花园,1,2,118168241,24479308,118.1795815,24.48264261
149,东禾,0,1,118196116,24667133,118.2073388,24.67070033
150,东禾,1,1,118196116,24667133,118.2073388,24.67070033
151,东芳山庄,0,25,118145516,24479583,118.1569863,24.482598
152,东芳山庄,1,24,118145061,24479557,118.1565331,24.48256848
153,东蔡,0,2,118027616,24612183,118.0390911,24.61514781
154,东蔡,1,2,118027616,24612183,118.0390911,24.61514781
155,东辉村,0,1,117995100,24642116,118.006474,24.64509114
156,东辉村,1,1,117995066,24642083,118.00644,24.64505832
157,东金电子,0,2,118031383,24561816,118.0428281,24.564836
158,东金电子,1,2,118031833,24561683,118.043278,24.56471082
159,东金科技,0,2,118031750,24561733,118.0431949,24.56475927
160,东金科技,1,2,118031516,24561800,118.0429609,24.56482241
161,中亚城,0,2,118009262,24592133,118.0206786,24.59498499
162,中亚城,1,2,118009640,24592080,118.0210579,24.59493084
163,中亚城寨内,0,1,118018983,24600466,118.0304368,24.60333821
