118.187725 , 24.526508 | 118.176468298 , 24.522946773
118.155821 , 24.735175 | 118.144374169 , 24.7320520982
118.117146 , 24.519841 | 118.105622474 , 24.5166981841
118.156019 , 24.49474 | 118.14458756 , 24.4916064142
118.057696 , 24.601871 | 118.046273336 , 24.5983414687
117.972395 , 24.478197 | 117.961196734 , 24.4748862476
118.164076 , 24.737896 | 118.152675657 , 24.7346383181
118.176006 , 24.476697 | 118.164715554 , 24.4732435838
118.153287 , 24.742891 | 118.14181598 , 24.7397960847
118.167239 , 24.504889 | 118.155868226 , 24.50157012
118.039128 , 24.570853 | 118.027688819 , 24.567688203
118.053635 , 24.766329 | 118.042179985 , 24.7628610284
118.026612 , 24.537438 | 118.015147294 , 24.5344850554
118.059365 , 24.594451 | 118.047949055 , 24.5909007242
118.066301 , 24.599674 | 118.054892004 , 24.5960366284
118.040661 , 24.497481 | 118.029198797 , 24.4942745361
118.246263 , 24.610559 | 118.234972467 , 24.6077112335
118.149066 , 24.70084 | 118.137613595 , 24.6978088139
118.168508 , 24.489288 | 118.157161259 , 24.4859487089
118.151544 , 24.712806 | 118.140095697 , 24.7097447927
118.127324 , 24.493489 | 118.115798079 , 24.490472603
118.1934 , 24.488017 | 118.182176355 , 24.4844343969
118.065169 , 24.56771 | 118.053781582 , 24.5640773774
118.087123 , 24.624413 | 118.075675088 , 24.6207793684
118.105614 , 24.514907 | 118.094114915 , 24.5115631756
118.184965 , 24.485317 | 118.17371056 , 24.4817671477
118.255272 , 24.640408 | 118.243960979 , 24.6375937753
118.141202 , 24.73386 | 118.129685643 , 24.7308821583
118.096979 , 24.464679 | 118.085544448 , 24.4611781764
118.04528 , 24.497898 | 118.033825508 , 24.4945920527
118.104106 , 24.573205 | 118.092644369 , 24.5698489771
118.183412 , 24.489576 | 118.172147121 , 24.4860415828
118.085394 , 24.468686 | 118.073990645 , 24.4650311109
118.111733 , 24.437673 | 118.100255195 , 24.4344345587
118.091865 , 24.452326 | 118.080452675 , 24.4487447
118.053865 , 24.569579 | 118.042461903 , 24.5661156416
118.106013 , 24.526439 | 118.094518997 , 24.523107472
118.106269 , 24.508479 | 118.094772243 , 24.5051467078
118.150249 , 24.485474 | 118.138798761 , 24.482414301
118.127677 , 24.485442 | 118.11615589 , 24.4824293387
118.232214 , 24.647913 | 118.220940753 , 24.6448668617
118.036882 , 24.564638 | 118.025438339 , 24.5615237003
118.16335 , 24.526842 | 118.151960358 , 24.523596724
118.170154 , 24.480937 | 118.158821275 , 24.4775755636
118.079799 , 24.461703 | 118.0684095 , 24.4580106603
118.052319 , 24.568881 | 118.040912715 , 24.5654511077
118.050129 , 24.586307 | 118.038706234 , 24.5829168394
118.110255 , 24.494303 | 118.098755409 , 24.4910465521
118.046882 , 24.457495 | 118.035470826 , 24.454156645
118.098399 , 24.511725 | 118.086919888 , 24.508246045
118.108744 , 24.478084 | 118.097262891 , 24.4748009928
118.10222 , 24.569728 | 118.090766872 , 24.5663358415
118.052695 , 24.632801 | 118.041239492 , 24.6293600916
118.191826 , 24.689072 | 118.180610549 , 24.6855093115
118.079272 , 24.470365 | 118.067875493 , 24.4666712662
118.101776 , 24.523723 | 118.090288054 , 24.5203115422
118.13879 , 24.481971 | 118.127291223 , 24.4789935553
118.153513 , 24.722159 | 118.142056861 , 24.7190655208
118.204294 , 24.605162 | 118.193081674 , 24.6016483563
118.148673 , 24.496522 | 118.137200411 , 24.4934793487
118.250668 , 24.678462 | 118.239382897 , 24.6756462162
118.050761 , 24.560343 | 118.039342661 , 24.5569383309
118.189745 , 24.663029 | 118.178502884 , 24.6594622329
118.185668 , 24.474875 | 118.174426566 , 24.4713175167
118.036367 , 24.472497 | 118.024930706 , 24.4693781476
118.191884 , 24.67871 | 118.180663795 , 24.6751481795
118.061584 , 24.575573 | 118.050190539 , 24.5719850904
118.263593 , 24.723752 | 118.252297238 , 24.720904784
118.087501 , 24.624374 | 118.076044738 , 24.6207460847
118.056666 , 24.576891 | 118.045258635 , 24.5733792102
118.045047 , 24.768626 | 118.033578137 , 24.7653325763
118.026708 , 24.537387 | 118.015246407 , 24.5344287227
118.044732 , 24.458713 | 118.033310136 , 24.455427111
118.114437 , 24.497597 | 118.102924963 , 24.4944087808
118.119417 , 24.618218 | 118.107887752 , 24.6151238812
118.127678 , 24.484452 | 118.116157274 , 24.4814426694
118.12052 , 24.476132 | 118.109016747 , 24.4730447394
118.149065 , 24.737112 | 118.137572162 , 24.7340736645
118.16007 , 24.519301 | 118.148649289 , 24.5161027684
118.105446 , 24.526401 | 118.093950838 , 24.523054925
118.169258 , 24.728371 | 118.15789861 , 24.7250300188
118.133899 , 24.507819 | 118.122371304 , 24.5048432398
118.048763 , 24.5732 | 118.037345356 , 24.5698370376
118.253858 , 24.674993 | 118.242572008 , 24.6721891764
118.097586 , 24.49875 | 118.08611662 , 24.4952536145
118.106173 , 24.596802 | 118.094693482 , 24.5934811189
118.206986 , 24.635956 | 118.195755477 , 24.6324717448
118.11373 , 24.60222 | 118.1022181 , 24.5990383194
118.052625 , 24.577311 | 118.041210188 , 24.5738757537
118.106365 , 24.517543 | 118.094865024 , 24.5142105491
118.252123 , 24.624693 | 118.240816667 , 24.6218740282
118.111925 , 24.437629 | 118.100449682 , 24.4343932388
117.995373 , 24.573097 | 117.984040925 , 24.5701339323
118.154307 , 24.728499 | 118.14285675 , 24.7253952453
118.087294 , 24.469661 | 118.075888564 , 24.4660177999
118.031919 , 24.647454 | 118.020438824 , 24.6444237506
118.140232 , 24.508584 | 118.128722638 , 24.5055969059
118.259337 , 24.670068 | 118.248049388 , 24.6672507022
118.155808 , 24.735188 | 118.144359239 , 24.7320620019
118.164184 , 24.739967 | 118.152778657 , 24.7367108907
118.098033 , 24.476769 | 118.086584406 , 24.4732813626
118.026741 , 24.568448 | 118.01529922 , 24.5655015497
117.958593 , 24.55047 | 117.947456043 , 24.5470775119
117.994805 , 24.614356 | 117.983436787 , 24.6113821763
118.192697 , 24.53271 | 118.181457649 , 24.529136927
118.062833 , 24.760488 | 118.05138816 , 24.7568794973
118.255403 , 24.605067 | 118.244111102 , 24.6022609233
118.151567 , 24.48306 | 118.140121255 , 24.479986591
118.113359 , 24.517561 | 118.101840364 , 24.5143548073
118.106036 , 24.526441 | 118.094541582 , 24.5231062084
117.996943 , 24.599415 | 117.985583088 , 24.5964670537
118.046079 , 24.501531 | 118.034625904 , 24.498215928
118.057551 , 24.569974 | 118.046145156 , 24.5664514929
118.166118 , 24.508552 | 118.154743807 , 24.5052553595
118.159442 , 24.521826 | 118.148025387 , 24.5186393211
118.148692 , 24.496526 | 118.137216759 , 24.493479489
118.209702 , 24.682488 | 118.198498374 , 24.6790450306
118.093407 , 24.636824 | 118.08193482 , 24.6332754504
118.045993 , 24.500614 | 118.034540103 , 24.4973010585
118.050569 , 24.57863 | 118.039158721 , 24.5752382058
118.113815 , 24.598358 | 118.102312813 , 24.5951763127
118.110614 , 24.508196 | 118.099102629 , 24.5049400699
118.097207 , 24.497567 | 118.085736493 , 24.4940673469
118.120051 , 24.604102 | 118.108531477 , 24.6010181345
118.348732 , 24.568557 | 118.337416433 , 24.56532454
118.176085 , 24.459528 | 118.164810898 , 24.4560757298
118.237267 , 24.699846 | 118.226004858 , 24.6968891317
118.121708 , 24.517416 | 118.110173475 , 24.5143371693
118.061432 , 24.576983 | 118.050040778 , 24.5734025522
118.151397 , 24.711845 | 118.139949411 , 24.708789121
118.127906 , 24.513441 | 118.116374331 , 24.5104338641
118.099474 , 24.441189 | 118.088039667 , 24.4377228901
118.160359 , 24.502259 | 118.1489474 , 24.4990542525
118.024379 , 24.49439 | 118.012908 , 24.4914602451
118.136598 , 24.490894 | 118.125086821 , 24.4879180262
118.071183 , 24.577253 | 118.059791626 , 24.5735759851
118.190506 , 24.482159 | 118.179278946 , 24.478578587
118.125068 , 24.472576 | 118.113560812 , 24.4695354787
118.108531 , 24.514866 | 118.097021088 , 24.5115788702
118.036957 , 24.583213 | 118.025515 , 24.5800958541
118.0284 , 24.645095 | 118.016913885 , 24.6421212569
118.100739 , 24.708303 | 118.08927455 , 24.704882509
118.252462 , 24.619069 | 118.241155525 , 24.6162502282
118.155344 , 24.505438 | 118.143903528 , 24.5023146356
118.153175 , 24.742006 | 118.141703858 , 24.7389189829
118.124059 , 24.542083 | 118.112544408 , 24.5390453432
117.978381 , 24.524653 | 117.967128959 , 24.521419683
118.114499 , 24.49033 | 118.102990884 , 24.4871473385
118.124231 , 24.686616 | 118.112718862 , 24.6835857173
118.066513 , 24.599742 | 118.055101721 , 24.5960998062
118.172369 , 24.491373 | 118.161043531 , 24.4879733533
118.153095 , 24.504094 | 118.141639496 , 24.5009963702
118.057675 , 24.602032 | 118.046253887 , 24.5985007354
118.131875 , 24.554118 | 118.120368207 , 24.5511403228
118.251245 , 24.636927 | 118.23992801 , 24.6341040342
118.147432 , 24.734781 | 118.135937262 , 24.7317552745
118.093755 , 24.506936 | 118.082294918 , 24.503380448
118.259342 , 24.670108 | 118.248050205 , 24.6672959507
118.099418 , 24.486251 | 118.087956321 , 24.4827939095
118.112909 , 24.519737 | 118.101388578 , 24.5165262861
118.144467 , 24.53296 | 118.132979946 , 24.52996039
118.148978 , 24.519197 | 118.137502368 , 24.5161527902
118.024764 , 24.591905 | 118.01331391 , 24.588980781
118.188008 , 24.464823 | 118.176790266 , 24.4612557239
118.162361 , 24.742315 | 118.150944448 , 24.7390850756
118.171056 , 24.747588 | 118.159695097 , 24.7442147201
118.161215 , 24.742243 | 118.149796094 , 24.7390287979
118.046058 , 24.570655 | 118.034638352 , 24.5673503487
118.265671 , 24.748453 | 118.254360401 , 24.7455843113
118.119314 , 24.491505 | 118.107794401 , 24.4883951768
118.108827 , 24.478101 | 118.097346636 , 24.4748123356
118.095972 , 24.461706 | 118.084547101 , 24.4581865124
118.246229 , 24.597581 | 118.234946604 , 24.5947367558
118.048773 , 24.573311 | 118.037353462 , 24.5699478714
118.099381 , 24.46769 | 118.087936005 , 24.464232835
118.106866 , 24.586634 | 118.095392658 , 24.5833273772
118.086693 , 24.454117 | 118.075294055 , 24.4504735518
118.170191 , 24.481043 | 118.158860031 , 24.4776789443
118.101133 , 24.469846 | 118.089684072 , 24.4664190545
118.040569 , 24.565636 | 118.029140182 , 24.5624415515
118.176093 , 24.476592 | 118.164805302 , 24.4731445881
118.141923 , 24.851901 | 118.130402438 , 24.8489101453
118.158197 , 24.509512 | 118.146772716 , 24.5063431451
118.038243 , 24.499484 | 118.02677437 , 24.4963266674
118.1324 , 24.507685 | 118.120869139 , 24.5047010487
118.084559 , 24.484906 | 118.073139144 , 24.4812408901
118.122179 , 24.529629 | 118.110653816 , 24.5265594772
118.155732 , 24.735121 | 118.144275417 , 24.7319931523
118.12058 , 24.476035 | 118.109077546 , 24.4729461858
118.18167 , 24.490012 | 118.170399305 , 24.4864879315
118.086706 , 24.472366 | 118.07529865 , 24.4687234596
118.161065 , 24.482446 | 118.149677539 , 24.4792324707
118.085614 , 24.468022 | 118.074209616 , 24.4643688733
118.184039 , 24.472146 | 118.172791899 , 24.4686045031
118.322758 , 24.610019 | 118.311530205 , 24.606443506
118.257143 , 24.657263 | 118.245846128 , 24.6544559989
118.109981 , 24.470277 | 118.098504372 , 24.4670167941
118.071859 , 24.570774 | 118.060464754 , 24.5670996174
118.155381 , 24.526645 | 118.143942152 , 24.5235229606
118.098427 , 24.483401 | 118.08696823 , 24.47991973
118.132759 , 24.492605 | 118.121241099 , 24.4896194934
118.097958 , 24.476602 | 118.086515427 , 24.4731158157
117.959481 , 24.57615 | 117.948351318 , 24.5727623166
118.13237 , 24.507694 | 118.120834921 , 24.5047108434
118.17082 , 24.53098 | 118.159472893 , 24.5276083674
118.067919 , 24.576162 | 118.056526092 , 24.5725119293
118.13936 , 24.503049 | 118.127847611 , 24.5000686346
118.124146 , 24.510121 | 118.112613232 , 24.5070757738
118.109835 , 24.5083 | 118.098322761 , 24.5050308574
118.122955 , 24.532018 | 118.111425804 , 24.5289663173
118.088105 , 24.742007 | 118.076641534 , 24.7383858877
118.099848 , 24.510876 | 118.088369242 , 24.5074185607
118.038022 , 24.499331 | 118.026561408 , 24.4961768507
118.161394 , 24.515065 | 118.149987463 , 24.5118470025
118.258425 , 24.67101 | 118.247140322 , 24.6681962301
118.088798 , 24.699291 | 118.077373877 , 24.6956848518
118.257003 , 24.6479 | 118.245690597 , 24.6450858972
118.127937 , 24.513233 | 118.11640427 , 24.5102239714
118.264079 , 24.706503 | 118.252799705 , 24.7036525178
118.119022 , 24.516168 | 118.107493114 , 24.5130565143
118.087577 , 24.495036 | 118.076141459 , 24.491399008
118.09179 , 24.452471 | 118.080380489 , 24.4488816817
118.093379 , 24.49862 | 118.081924252 , 24.4950570891
118.104016 , 24.482637 | 118.092540098 , 24.479261618
118.188786 , 24.469719 | 118.17756425 , 24.4661434167
118.100267 , 24.516185 | 118.088784108 , 24.5127357437
117.957109 , 24.55239 | 117.945979848 , 24.5489995856
118.130236 , 24.503656 | 118.118703802 , 24.5006584489
118.098113 , 24.503737 | 118.086644793 , 24.5002539165
118.140865 , 24.797979 | 118.129367141 , 24.7950061658
118.326692 , 24.614788 | 118.31545114 , 24.6112379368
118.048396 , 24.562708 | 118.036973827 , 24.5593545063
118.092375 , 24.498658 | 118.0809203 , 24.4950785393
118.119064 , 24.516159 | 118.107535217 , 24.513047228
118.13278 , 24.736675 | 118.121241015 , 24.7336955398
118.245453 , 24.610146 | 118.234159184 , 24.6072921875
117.960292 , 24.576493 | 117.949158976 , 24.5731076652
118.188896 , 24.469568 | 118.177673836 , 24.4659970208
118.088177 , 24.742067 | 118.076719149 , 24.7384458966
118.146612 , 24.693958 | 118.135143404 , 24.6909539186
118.063679 , 24.589309 | 118.052277494 , 24.585695975
118.103541 , 24.51629 | 118.09205204 , 24.5129086476
118.101855 , 24.524127 | 118.090374399 , 24.5207153554
